Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
7,08333366977361E-02	-3,04166670048289E-04	1,41103149205446	1,18785814382136	
7,12500033841934E-02	-2,22916669144979E-04	1,1230658814311	0,831500700674951	
7,16666700706507E-02	-5,20833339123783E-05	0,676719184964895	0,223173348233104	
7,20833367571079E-02	-2,08333335649513E-06	0,2699677599594	-0,190777217037976	
7,25000034435652E-02	-7,68750008546704E-04	0,374355293810368	0,010798710398376	
7,29166701300225E-02	-2,02916668922626E-03	0,817102420143783	0,417550135403872	
7,33333368164798E-02	-2,46458336073374E-03	1,3030443880707	0,658721334300935	
0,073750003502937	-1,75000001945591E-03	1,2130551347509	0,421149705536664	
7,41666701893943E-02	-8,29166675885062E-04	0,507539388723671	-0,230372488498688	
7,45833368758516E-02	-4,50000005002948E-04	-0,241171198897064	-0,845898981206119	
7,50000035623088E-02	-6,64583340721947E-04	-0,766708438284695	-1,23105298541486	
7,54166702487661E-02	-7,50000008338247E-04	-0,979083076119423	-1,33904008939862	
7,58333369352234E-02	-3,70833337456133E-04	-0,773907578550279	-1,12666545156389	
7,62500036216807E-02	-7,50000008338247E-05	-0,03599570132792	-0,550734230317175	
7,66666703081379E-02	-6,64583340721947E-04	0,719914026558399	0,039595271460712	
7,70833369945952E-02	-1,95625002174893E-03	0,820701990276575	0,165580226108432	
7,75000036810525E-02	-2,88958336545875E-03	0,601128212176263	0,118785814382136	
7,79166703675098E-02	-2,71666669686965E-03	0,014398280531168	-0,316762171685696	
0,078333337053967	-1,43333334926865E-03	-0,629924773238599	-0,871095972135663	
7,87500037404243E-02	-3,02083336691794E-04	-0,968284365721047	-1,18785814382136	
7,91666704268816E-02	-1,56250001737135E-04	-0,896292963065207	-1,22745341528207	
7,95833371133388E-02	-2,70833336344367E-04	-0,658721334300935	-1,24185169581324	
8,00000037997961E-02	-4,16666671299026E-05	-0,511138958856463	-1,38223493099213	
8,04166704862534E-02	8,08333342320111E-04	-0,590329501777887	-1,66660097148269	
8,08333371727106E-02	1,22500001361914E-03	-0,644323053769767	-1,68819839227945	
8,12500038591679E-02	4,43750004933463E-04	-0,460744976997375	-1,23105298541486	
8,16666705456252E-02	-6,20833340235549E-04	6,11926922574639E-02	-0,374355293810368	
8,20833372320825E-02	-6,93750007712879E-04	0,356357443146408	0,151181945577264	
8,25000039185397E-02	3,43750003821697E-04	0,043194841593504	-0,010798710398376	
0,082916670604997	1,36250001514782E-03	-0,10798710398376	-0,205175497569144	
8,33333372914543E-02	7,81250008685674E-04	0,172779366374016	-0,208775067701936	
8,37500039779115E-02	-9,43750010492295E-04	0,611926922574639	8,63896831870079E-02	
8,41666706643688E-02	-1,91458335461903E-03	0,889093822799623	0,475143257528543	
8,45833373508261E-02	-1,61666668464022E-03	0,860297261737287	0,590329501777887	
8,50000040372834E-02	-8,04166675607121E-04	0,705515746027231	0,43194841593504	
8,54166707237406E-02	-6,47916673869986E-04	0,597528642043471	0,334760022349656	
